제목,가격,지역,시간,이미지링크,링크
샤넬 깜봉 숄더백 미디엄,"2,800,000원",샤넬 깜봉 숄더백 미디엄,끌올 3개월 전,https://img.kr.gcp-karroter.net/origin/article/202605/1778934792421eb4cd3eae07e17b89db7f570bfc1a1a405ae23b4c069dacce10f488dc923566d0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B9%9C%EB%B4%89-%EC%88%84%EB%8D%94%EB%B0%B1-%EB%AF%B8%EB%94%94%EC%97%84-4vghqse6o8yb/
샤넬 가브리엘 호보백 베이지/블랙,"2,100,000원",샤넬 가브리엘 호보백 베이지/블랙,끌올 14일 전,https://img.kr.gcp-karroter.net/origin/article/202604/5454457cc04a49d2c67b0a3552e2cdc9a4fa8c1c5b9acdbb1232c9dbb4442fcd_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%ED%98%B8%EB%B3%B4%EB%B0%B1-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EB%B8%94%EB%9E%99-sb5atjbvzhun/
샤넬 뉴 트래블 패브릭 나일론 토트백 베이지,"450,000원",샤넬 뉴 트래블 패브릭 나일론 토트백 베이지,끌올 2일 전,https://img.kr.gcp-karroter.net/origin/article/202604/4d20aa74d32c54779c41b8f1bf8314098e01256b3f4ccf0201077ae1a324e867_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%89%B4-%ED%8A%B8%EB%9E%98%EB%B8%94-%ED%8C%A8%EB%B8%8C%EB%A6%AD-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%86%A0%ED%8A%B8%EB%B0%B1-%EB%B2%A0%EC%9D%B4%EC%A7%80-bytqg6urwb4t/
샤넬 19백 라지 골드 새제품 / 풀박스,"6,000,000원",샤넬 19백 라지 골드 새제품 / 풀박스,끌올 10일 전,https://img.kr.gcp-karroter.net/origin/article/202607/17851397011246acd89aecf4603fda9e863be51494edeb1ab1bffa093909001eb16c92ebfed6b0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-19%EB%B0%B1-%EB%9D%BC%EC%A7%80-%EA%B3%A8%EB%93%9C-%EC%83%88%EC%A0%9C%ED%92%88-%ED%92%80%EB%B0%95%EC%8A%A4-5h7dur1ekx1q/
샤넬 19백 미디움 블랙 금장(이너백포함),"7,300,000원",샤넬 19백 미디움 블랙 금장(이너백포함),끌올 11일 전,https://img.kr.gcp-karroter.net/origin/article/202507/1753739224814f9add2c1da2cf7165fc952ad2e43e07ebb29e2eb4601a073ec3e601c942655250.jpg?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-19%EB%B0%B1-%EB%AF%B8%EB%94%94%EC%9B%80-%EB%B8%94%EB%9E%99-%EA%B8%88%EC%9E%A5-%EC%9D%B4%EB%84%88%EB%B0%B1%ED%8F%AC%ED%95%A8-mayonbvos2a7/
샤넬 코스메틱 미니체인가방,"2,100,000원",샤넬 코스메틱 미니체인가방,끌올 6일 전,https://img.kr.gcp-karroter.net/origin/article/202603/307fbaebbc32fc77cf04c0e21571eae45f3c208881969501b087edcf1d0e4bd3_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%BD%94%EC%8A%A4%EB%A9%94%ED%8B%B1-%EB%AF%B8%EB%8B%88%EC%B2%B4%EC%9D%B8%EA%B0%80%EB%B0%A9-wqpgssswyqer/
(미개봉 새제품) 샤넬25백 스몰 금장 캐비어,"10,350,000원",(미개봉 새제품) 샤넬25백 스몰 금장 캐비어,끌올 1개월 전,https://img.kr.gcp-karroter.net/origin/article/202604/1777529701977cccd2e31ee26f6ff60b923ad36f2a97d30171947ddcef9fcbc967892917503c90.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%83%88%EC%A0%9C%ED%92%88-%EC%83%A4%EB%84%AC25%EB%B0%B1-%EC%8A%A4%EB%AA%B0-%EA%B8%88%EC%9E%A5-%EC%BA%90%EB%B9%84%EC%96%B4-ixjc3rdssvzq/
샤넬 가브리엘 호보백 구미듐 현 라지 블랙,"3,300,000원",샤넬 가브리엘 호보백 구미듐 현 라지 블랙,끌올 1개월 전,https://img.kr.gcp-karroter.net/origin/article/202606/ce4a1f110a9886e519770d2c50a1e8a1efd42112a36a49ed7ee85a8adee732c6_1.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%ED%98%B8%EB%B3%B4%EB%B0%B1-%EA%B5%AC%EB%AF%B8%EB%93%90-%ED%98%84-%EB%9D%BC%EC%A7%80-%EB%B8%94%EB%9E%99-c4a6pqk6y385/
샤넬 CC 로고 믹스 컬러 귀걸이,"729,000원",샤넬 CC 로고 믹스 컬러 귀걸이,끌올 4일 전,https://img.kr.gcp-karroter.net/origin/article/202607/17840083550519f86f787b19f391f4e7887db966b93da900e90321dbe15648fd5baf0081d68aa0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-cc-%EB%A1%9C%EA%B3%A0-%EB%AF%B9%EC%8A%A4-%EC%BB%AC%EB%9F%AC-%EA%B7%80%EA%B1%B8%EC%9D%B4-gpght5ey5oav/
샤넬 클래식미듐 램스킨 그레이 샴페인골드,"8,400,000원",샤넬 클래식미듐 램스킨 그레이 샴페인골드,끌올 7개월 전,https://img.kr.gcp-karroter.net/origin/article/202509/e1606dc3b86e7d6fd4b4d4c01a0f93d5c2cb7c464361aec1f9738eadf130a85d_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%81%B4%EB%9E%98%EC%8B%9D%EB%AF%B8%EB%93%90-%EB%9E%A8%EC%8A%A4%ED%82%A8-%EA%B7%B8%EB%A0%88%EC%9D%B4-%EC%83%B4%ED%8E%98%EC%9D%B8%EA%B3%A8%EB%93%9C-xgouc5aq5a5q/
샤넬 금장 민트급,"990,000원",샤넬 금장 민트급,끌올 13일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B8%88%EC%9E%A5-%EB%AF%BC%ED%8A%B8%EA%B8%89-hx6ramfja36b/
샤넬 WOC 캐비어 블랙 금장 체인 크로스백,"3,500,000원",샤넬 WOC 캐비어 블랙 금장 체인 크로스백,끌올 1개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-woc-%EC%BA%90%EB%B9%84%EC%96%B4-%EB%B8%94%EB%9E%99-%EA%B8%88%EC%9E%A5-%EC%B2%B4%EC%9D%B8-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1-xrjppyt4k2dq/
샤넬 타임리스cc 캐비어 배니티백 베니티 미니백 빈티지,"1,500,000원",샤넬 타임리스cc 캐비어 배니티백 베니티 미니백 빈티지,끌올 14일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%83%80%EC%9E%84%EB%A6%AC%EC%8A%A4cc-%EC%BA%90%EB%B9%84%EC%96%B4-%EB%B0%B0%EB%8B%88%ED%8B%B0%EB%B0%B1-%EB%B2%A0%EB%8B%88%ED%8B%B0-%EB%AF%B8%EB%8B%88%EB%B0%B1-%EB%B9%88%ED%8B%B0%EC%A7%80-ag1edegx3kiq/
샤넬 가브리엘 호보백 스몰 블랙,"4,800,000원",샤넬 가브리엘 호보백 스몰 블랙,끌올 23일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%ED%98%B8%EB%B3%B4%EB%B0%B1-%EC%8A%A4%EB%AA%B0-%EB%B8%94%EB%9E%99-p7tik4p3qw8q/
샤넬 카멜리아 플라워 코코마크 후프 귀걸이,"500,000원",샤넬 카멜리아 플라워 코코마크 후프 귀걸이,끌올 2일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%B9%B4%EB%A9%9C%EB%A6%AC%EC%95%84-%ED%94%8C%EB%9D%BC%EC%9B%8C-%EC%BD%94%EC%BD%94%EB%A7%88%ED%81%AC-%ED%9B%84%ED%94%84-%EA%B7%80%EA%B1%B8%EC%9D%B4-h6mpdydx3pjc/
가브리엘 백팩 블랙,"150,000원",가브리엘 백팩 블랙,끌올 22시간 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%EB%B0%B1%ED%8C%A9-%EB%B8%94%EB%9E%99-hrcndbr1a943/
(이번주만 280)샤넬 가브리엘 호보백 네이비 스몰,"3,000,000원",(이번주만 280)샤넬 가브리엘 호보백 네이비 스몰,끌올 1개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%9D%B4%EB%B2%88%EC%A3%BC%EB%A7%8C-280-%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%ED%98%B8%EB%B3%B4%EB%B0%B1-%EB%84%A4%EC%9D%B4%EB%B9%84-%EC%8A%A4%EB%AA%B0-o81ifi9hb3g9/
샤넬 실크 스카프 새상품,"550,000원",샤넬 실크 스카프 새상품,끌올 5시간 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%8B%A4%ED%81%AC-%EC%8A%A4%EC%B9%B4%ED%94%84-%EC%83%88%EC%83%81%ED%92%88-879v2jscoqwo/
샤넬 클래식 cc 진주 버킷 크로스백,"3,285,000원",샤넬 클래식 cc 진주 버킷 크로스백,끌올 10개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%81%B4%EB%9E%98%EC%8B%9D-cc-%EC%A7%84%EC%A3%BC-%EB%B2%84%ED%82%B7-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1-h39ask817xzr/
샤넬 데님 22백 스몰,"8,000,000원",샤넬 데님 22백 스몰,끌올 11개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%8D%B0%EB%8B%98-22%EB%B0%B1-%EC%8A%A4%EB%AA%B0-qiu61x4knhv3/
샤넬 클래식 미디움(풀셋 구성),"5,700,000원",샤넬 클래식 미디움(풀셋 구성),끌올 11개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%81%B4%EB%9E%98%EC%8B%9D-%EB%AF%B8%EB%94%94%EC%9B%80-%ED%92%80%EC%85%8B-%EA%B5%AC%EC%84%B1-y3f8dwvez4wx/
샤넬 퀼팅 미니 크로스백 블랙 금장 쁘티샥,"4,800,000원",샤넬 퀼팅 미니 크로스백 블랙 금장 쁘티샥,5개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%80%BC%ED%8C%85-%EB%AF%B8%EB%8B%88-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1-%EB%B8%94%EB%9E%99-%EA%B8%88%EC%9E%A5-%EC%81%98%ED%8B%B0%EC%83%A5-95xdumjihni8/
샤넬 롱부츠 블랙 (더스트백 포함)정품,"439,000원",샤넬 롱부츠 블랙 (더스트백 포함)정품,끌올 21일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%A1%B1%EB%B6%80%EC%B8%A0-%EB%B8%94%EB%9E%99-%EB%8D%94%EC%8A%A4%ED%8A%B8%EB%B0%B1-%ED%8F%AC%ED%95%A8-%EC%A0%95%ED%92%88-y1txd1vutq67/
샤넬 제니백 초코바 숄더백 아이보리,"998,000원",샤넬 제니백 초코바 숄더백 아이보리,끌올 8개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%A0%9C%EB%8B%88%EB%B0%B1-%EC%B4%88%EC%BD%94%EB%B0%94-%EC%88%84%EB%8D%94%EB%B0%B1-%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC-bcqbid6214ri/
샤넬 22백 미니 핑크 램스킨 [정가860만원],"7,500,000원",마곡동,끌올 3개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-22%EB%B0%B1-%EB%AF%B8%EB%8B%88-%ED%95%91%ED%81%AC-%EB%9E%A8%EC%8A%A4%ED%82%A8-%EC%A0%95%EA%B0%80860%EB%A7%8C%EC%9B%90-7zmo2kmdko5p/
(새상품) 샤넬 버킷햇 도트 CC로고 M,"1,219,000원",(새상품) 샤넬 버킷햇 도트 CC로고 M,끌올 18일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%83%A4%EB%84%AC-%EB%B2%84%ED%82%B7%ED%96%87-%EB%8F%84%ED%8A%B8-cc%EB%A1%9C%EA%B3%A0-m-qxpbxcefktmq/
샤넬 베이지/블랙 투톤 슬링백 힐,"1,100,000원",샤넬 베이지/블랙 투톤 슬링백 힐,3개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EB%B8%94%EB%9E%99-%ED%88%AC%ED%86%A4-%EC%8A%AC%EB%A7%81%EB%B0%B1-%ED%9E%90-bnvd5hvpciqw/
샤넬 19클러치 뉴미듐,"1,600,000원",샤넬 19클러치 뉴미듐,끌올 3개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-19%ED%81%B4%EB%9F%AC%EC%B9%98-%EB%89%B4%EB%AF%B8%EB%93%90-oyyt174hxihg/
샤넬 숄더백,"5,900,000원",샤넬 숄더백,2일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%88%84%EB%8D%94%EB%B0%B1-i9xti3cy3ozm/
샤넬 CC 로고 귀걸이 거의 새제품,"729,000원",샤넬 CC 로고 귀걸이 거의 새제품,끌올 5개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-cc-%EB%A1%9C%EA%B3%A0-%EA%B7%80%EA%B1%B8%EC%9D%B4-%EA%B1%B0%EC%9D%98-%EC%83%88%EC%A0%9C%ED%92%88-nbybgyxk63di/
샤넬 슬링백 펌프스 블랙/베이지 구두 힐 245 사이즈,"200,000원",샤넬 슬링백 펌프스 블랙/베이지 구두 힐 245 사이즈,1년 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%8A%AC%EB%A7%81%EB%B0%B1-%ED%8E%8C%ED%94%84%EC%8A%A4-%EB%B8%94%EB%9E%99-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EA%B5%AC%EB%91%90-%ED%9E%90-245-%EC%82%AC%EC%9D%B4%EC%A6%88-mc9cty8puprw/
샤넬 핸드크림 리미티드 데님 메이크업 컬렉션,"120,000원",샤넬 핸드크림 리미티드 데님 메이크업 컬렉션,끌올 28일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%95%B8%EB%93%9C%ED%81%AC%EB%A6%BC-%EB%A6%AC%EB%AF%B8%ED%8B%B0%EB%93%9C-%EB%8D%B0%EB%8B%98-%EB%A9%94%EC%9D%B4%ED%81%AC%EC%97%85-%EC%BB%AC%EB%A0%89%EC%85%98-wvs48im1okg5/
샤넬 가죽체인 진주 cc로고 라운드 귀걸이(클립형),"790,000원",샤넬 가죽체인 진주 cc로고 라운드 귀걸이(클립형),끌올 1개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EC%A3%BD%EC%B2%B4%EC%9D%B8-%EC%A7%84%EC%A3%BC-cc%EB%A1%9C%EA%B3%A0-%EB%9D%BC%EC%9A%B4%EB%93%9C-%EA%B7%80%EA%B1%B8%EC%9D%B4-%ED%81%B4%EB%A6%BD%ED%98%95-tv2bstofjx7p/
샤넬19 클러치백 라지 네이비,"2,300,000원",샤넬19 클러치백 라지 네이비,끌올 1년 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC19-%ED%81%B4%EB%9F%AC%EC%B9%98%EB%B0%B1-%EB%9D%BC%EC%A7%80-%EB%84%A4%EC%9D%B4%EB%B9%84-p616kfimj6fa/
가브리엘 백팩 블랙,"155,000원",가브리엘 백팩 블랙,7일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%EB%B0%B1%ED%8C%A9-%EB%B8%94%EB%9E%99-92xqvuer46f7/
"샤넬 미니어처 향수 3종 세트 (N°5, 코코, 가브리엘)","37,000원","샤넬 미니어처 향수 3종 세트 (N°5, 코코, 가브리엘)",끌올 6개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%AF%B8%EB%8B%88%EC%96%B4%EC%B2%98-%ED%96%A5%EC%88%98-3%EC%A2%85-%EC%84%B8%ED%8A%B8-n-5-%EC%BD%94%EC%BD%94-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-obis5oq3z6tp/
